"@timestamp","@version",context,"data_stream.dataset",type,response,request,path,metrics,method,message,"logger_name",level,latency,host,"extra_data","data_stream.type","data_stream.namespace","event.original","_id","_index","_score"
"Aug 20, 2024 @ 01:02:10.097",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.9388251987959628,""x2"":-0.8748825527999697,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.9388251987959628, ""x2"": -0.8748825527999697, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.097Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005350112915039062, ""request"": ""{\""x1\"": 1.9388251987959628, \""x2\"": -0.8748825527999697, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.9388251987959628,\""x2\"":-0.8748825527999697,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","X0CXbpEBFxHMiGpb1i-W",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.095",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.3043775761720005,""x2"":0.8262917850040965,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.3043775761720005, ""x2"": 0.8262917850040965, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.095Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005965232849121094, ""request"": ""{\""x1\"": 1.3043775761720005, \""x2\"": 0.8262917850040965, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.3043775761720005,\""x2\"":0.8262917850040965,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","3kCXbpEBFxHMiGpb1i_I",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.093",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":-0.3903676035076544,""x2"":1.832659162712583,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": -0.3903676035076544, ""x2"": 1.832659162712583, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,0,"DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.093Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.00048732757568359375, ""request"": ""{\""x1\"": -0.3903676035076544, \""x2\"": 1.832659162712583, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":-0.3903676035076544,\""x2\"":1.832659162712583,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","tkCXbpEBFxHMiGpb1i-n",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.092",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.1633663831312897,""x2"":2.1253569933290963,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.1633663831312897, ""x2"": 2.1253569933290963, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.092Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005376338958740234, ""request"": ""{\""x1\"": 1.1633663831312897, \""x2\"": 2.1253569933290963, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.1633663831312897,\""x2\"":2.1253569933290963,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","3UCXbpEBFxHMiGpb1i_I",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.090",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.3054929873013577,""x2"":1.453020353153965,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.3054929873013577, ""x2"": 1.453020353153965, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.090Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005877017974853516, ""request"": ""{\""x1\"": 1.3054929873013577, \""x2\"": 1.453020353153965, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.3054929873013577,\""x2\"":1.453020353153965,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","FkCXbpEBFxHMiGpb1i-V",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.088",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.6303957214772956,""x2"":1.280710795270197,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.6303957214772956, ""x2"": 1.280710795270197, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.088Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0005779266357421875, ""request"": ""{\""x1\"": 0.6303957214772956, \""x2\"": 1.280710795270197, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.6303957214772956,\""x2\"":1.280710795270197,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","8kCXbpEBFxHMiGpb1i_M",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.086",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":2.0937883391416996,""x2"":1.9743085064450323,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 2.0937883391416996, ""x2"": 1.9743085064450323, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.086Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0006835460662841797, ""request"": ""{\""x1\"": 2.0937883391416996, \""x2\"": 1.9743085064450323, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":2.0937883391416996,\""x2\"":1.9743085064450323,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","KkCXbpEBFxHMiGpb1i-W",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.084",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.6768861845296483,""x2"":-0.10761493322869198,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.6768861845296483, ""x2"": -0.10761493322869198, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.084Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0006613731384277344, ""request"": ""{\""x1\"": 0.6768861845296483, \""x2\"": -0.10761493322869198, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.6768861845296483,\""x2\"":-0.10761493322869198,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","okCXbpEBFxHMiGpb1i-d",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.081",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":1.6597624043495853,""x2"":1.9985703364776273,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 1.6597624043495853, ""x2"": 1.9985703364776273, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.081Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0006422996520996094, ""request"": ""{\""x1\"": 1.6597624043495853, \""x2\"": 1.9985703364776273, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":1.6597624043495853,\""x2\"":1.9985703364776273,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","ekCXbpEBFxHMiGpb1i-a",".ds-logs-generic-default-2024.08.20-000001",0.025
"Aug 20, 2024 @ 01:02:10.079",1,null,generic,logstash,"{""message"":""Prediction successful"",""input_data"":{""x1"":0.8484245882300954,""x2"":0.9382250677176343,""tag"":""test_drift""},""prediction"":[1.0]}","{""x1"": 0.8484245882300954, ""x2"": 0.9382250677176343, ""tag"": ""test_drift""}","/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py","-",POST,"Log Data","python-logstash-logger",INFO,"0.001","DESKTOP-7CGFAPL","-",logs,default,"{""@timestamp"": ""2024-08-20T07:02:10.079Z"", ""@version"": ""1"", ""message"": ""Log Data"", ""host"": ""DESKTOP-7CGFAPL"", ""path"": ""/home/bubu/CF-classes/CodigoFacilito-Drift-Detection/api/middleware.py"", ""tags"": [], ""type"": ""logstash"", ""level"": ""INFO"", ""logger_name"": ""python-logstash-logger"", ""latency"": 0.0006594657897949219, ""request"": ""{\""x1\"": 0.8484245882300954, \""x2\"": 0.9382250677176343, \""tag\"": \""test_drift\""}"", ""tag"": ""test_drift"", ""method"": ""POST"", ""response"": ""{\""message\"":\""Prediction successful\"",\""input_data\"":{\""x1\"":0.8484245882300954,\""x2\"":0.9382250677176343,\""tag\"":\""test_drift\""},\""prediction\"":[1.0]}""}","jkCXbpEBFxHMiGpb1i-d",".ds-logs-generic-default-2024.08.20-000001",0.025
